"filename", "language", "TypeScript JSX", "TypeScript", "PostCSS", "comment", "blank", "total"
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Servicess/RelatedPost.tsx", "TypeScript JSX", 35, 0, 0, 0, 3, 38
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Servicess/SharePost.tsx", "TypeScript JSX", 59, 0, 0, 0, 2, 61
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Servicess/SingleBlog.tsx", "TypeScript JSX", 56, 0, 0, 0, 3, 59
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Servicess/TagButton.tsx", "TypeScript JSX", 11, 0, 0, 0, 2, 13
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Servicess/index.tsx", "TypeScript JSX", 27, 0, 0, 0, 4, 31
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Servicess/serviciosData.tsx", "TypeScript JSX", 46, 0, 0, 0, 2, 48
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/SignIn/GithubSignInButton.tsx", "TypeScript JSX", 43, 0, 0, 0, 3, 46
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Testimonials/SingleTestimonial.tsx", "TypeScript JSX", 40, 0, 0, 0, 5, 45
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Testimonials/index.tsx", "TypeScript JSX", 179, 0, 0, 0, 5, 184
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/UserAvatar.tsx", "TypeScript JSX", 51, 0, 0, 0, 3, 54
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/components/Video/index.tsx", "TypeScript JSX", 58, 0, 0, 0, 9, 67
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/styles/index.css", "PostCSS", 0, 0, 26, 0, 8, 34
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/types/blog.ts", "TypeScript", 0, 14, 0, 0, 2, 16
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/types/brand.ts", "TypeScript", 0, 7, 0, 0, 1, 8
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/types/feature.ts", "TypeScript", 0, 6, 0, 0, 1, 7
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/types/menu.ts", "TypeScript", 0, 8, 0, 0, 1, 9
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/types/testimonial.ts", "TypeScript", 0, 8, 0, 0, 1, 9
"/media/eliaslezcano/expansion/Programming/hackathons/penguin/2024-ale2/Safari/FRONTEND/startup-nextjs-main/src/utils/api.ts", "TypeScript", 0, 4, 0, 0, 1, 5
"Total", "-", 3661, 100, 26, 49, 231, 4067
